Conference;2023;MD Nine, T. Kosar, M. F. Bulut, J. Hwant:GreenNFV: Energy-Efficient Network Function Virtualization with Service Level Agreement Constraints;SC: International Conference for High Performance Computing, Networking, Storage and Analysis
Arxiv;2023;A. Imran, T. Kosar, J. Zola, M. F. Bulut;Predicting the Impact of Batch Refactoring Code Smells on Application Resource Consumption;Arxiv
Conference;2022;B. Turkkan, T. Dai, A. Raman, T. Kosar, C. Chen, M. F. Bulut, J. Zola, D. Sow;GreenABR: Energy-Aware Adaptive Bitrate Streaming with Deep Reinforcement Learning;ACM MMSys;Third place - Excellence in DASH award;
Arxiv;2022;M. F. Bulut, S. Ocepek, A. Adebayo, D. Sow;Vulnerability Prioritization: An Offensive Security Approach;Arxiv;;
Arxiv;2022;A. Adebayo, D. Sow, M. F. Bulut;Automated Compliance Blueprint Optimization with Artificial Intelligence;Arxiv;;
Arxiv;2022;C. Adam, M. F. Bulut, D. Sow, S. Ocepek, C. Bedell, Lilian Ngweta;Attack Techniques and Threat Identification for Vulnerabilities;Arxiv;;
Conference;2021;M. F. Bulut, J. Hwang;NL2Vul: Natural Language to Standard Vulnerability Score for Cloud Security Posture Management;IEEE Cloud;;
Conference;2019;T. Suk, J. Hwang, M. F. Bulut, Z. Zeng;Failure-Aware Application Placement Modeling and Optimization in High Turnover DevOps Environment;IEEE Cloud;;20.8%
Conference;2019;M. F. Bulut, C. Adam, M. Hernanzdez, M. Vukovic;Cognitive Compliance: Analyze, Monitor and Enforce Compliance in the Cloud;IEEE Cloud;;20.8
Conference;2019;L. Tacchio, MD Nine, T. Kosar, M. F. Bulut, J. Hwang;Cross-layer Optimization of Big Data Transfer Throughput and Energy Consumption;IEEE Cloud;;
Arxiv;2019;M.F. Bulut, H. Sun, P. Arora, M. Vukovic, K. Koenig, J. Young;Technical Health Check for Cloud Service Providers;Arxiv;;
Journal;2019;T. Kosar, I. Alan, M. F. Bulut;Energy-Aware Data Throughput Optimization for Next Generation Internet;Elsevier Information Science;;4.3
Poster;2018;MD Nine, J. Hwang, M. F. Bulut, T. Kosar;GreenNF: Energy Efficient Network Function Virtualization;OSDI;;
Conference;2018;MD Nine, L. Tacchio, A. Imran, T. Kosar, M. F. Bulut, J. Hwang;GreenDataFlow: Minimizing the Energy Footprint of Global Data Movement;IEEE BigData;;18%
